ref_img,ref_patch,dist_patch,first_SUR,second_SUR,third_SUR,set
SRC01,SRC01_1,SRC01_001_1,2.00915821259787e-07,2.82997134989286e-07,0.00022880401772548502,10
SRC01,SRC01_2,SRC01_001_2,2.00915821259787e-07,2.82997134989286e-07,0.00022880401772548502,10
SRC01,SRC01_3,SRC01_001_3,2.00915821259787e-07,2.82997134989286e-07,0.00022880401772548502,10
SRC01,SRC01_4,SRC01_001_4,2.00915821259787e-07,2.82997134989286e-07,0.00022880401772548502,10
SRC01,SRC01_5,SRC01_001_5,2.00915821259787e-07,2.82997134989286e-07,0.00022880401772548502,10
SRC01,SRC01_1,SRC01_002_1,9.2465037436318e-07,2.14779641323052e-06,0.0007156136910805849,10
SRC01,SRC01_2,SRC01_002_2,9.2465037436318e-07,2.14779641323052e-06,0.0007156136910805849,10
SRC01,SRC01_3,SRC01_002_3,9.2465037436318e-07,2.14779641323052e-06,0.0007156136910805849,10
SRC01,SRC01_4,SRC01_002_4,9.2465037436318e-07,2.14779641323052e-06,0.0007156136910805849,10
SRC01,SRC01_5,SRC01_002_5,9.2465037436318e-07,2.14779641323052e-06,0.0007156136910805849,10
SRC01,SRC01_1,SRC01_003_1,3.7367278940064103e-06,1.31063152011415e-05,0.00201182444693194,10
SRC01,SRC01_2,SRC01_003_2,3.7367278940064103e-06,1.31063152011415e-05,0.00201182444693194,10
SRC01,SRC01_3,SRC01_003_3,3.7367278940064103e-06,1.31063152011415e-05,0.00201182444693194,10
SRC01,SRC01_4,SRC01_003_4,3.7367278940064103e-06,1.31063152011415e-05,0.00201182444693194,10
SRC01,SRC01_5,SRC01_003_5,3.7367278940064103e-06,1.31063152011415e-05,0.00201182444693194,10
SRC01,SRC01_1,SRC01_004_1,1.33830810608957e-05,6.54235575976792e-05,0.00510917240546968,10
SRC01,SRC01_2,SRC01_004_2,1.33830810608957e-05,6.54235575976792e-05,0.00510917240546968,10
SRC01,SRC01_3,SRC01_004_3,1.33830810608957e-05,6.54235575976792e-05,0.00510917240546968,10
SRC01,SRC01_4,SRC01_004_4,1.33830810608957e-05,6.54235575976792e-05,0.00510917240546968,10
SRC01,SRC01_5,SRC01_004_5,1.33830810608957e-05,6.54235575976792e-05,0.00510917240546968,10
SRC01,SRC01_1,SRC01_005_1,4.28496377854155e-05,0.000271568479716834,0.0117794518239029,10
SRC01,SRC01_2,SRC01_005_2,4.28496377854155e-05,0.000271568479716834,0.0117794518239029,10
SRC01,SRC01_3,SRC01_005_3,4.28496377854155e-05,0.000271568479716834,0.0117794518239029,10
SRC01,SRC01_4,SRC01_005_4,4.28496377854155e-05,0.000271568479716834,0.0117794518239029,10
SRC01,SRC01_5,SRC01_005_5,4.28496377854155e-05,0.000271568479716834,0.0117794518239029,10
SRC01,SRC01_1,SRC01_006_1,0.000123658792124745,0.0009521023360855039,0.0247794620736675,10
SRC01,SRC01_2,SRC01_006_2,0.000123658792124745,0.0009521023360855039,0.0247794620736675,10
SRC01,SRC01_3,SRC01_006_3,0.000123658792124745,0.0009521023360855039,0.0247794620736675,10
SRC01,SRC01_4,SRC01_006_4,0.000123658792124745,0.0009521023360855039,0.0247794620736675,10
SRC01,SRC01_5,SRC01_006_5,0.000123658792124745,0.0009521023360855039,0.0247794620736675,10
SRC01,SRC01_1,SRC01_007_1,0.000324148237573549,0.00286129160881338,0.0478016934911018,10
SRC01,SRC01_2,SRC01_007_2,0.000324148237573549,0.00286129160881338,0.0478016934911018,10
SRC01,SRC01_3,SRC01_007_3,0.000324148237573549,0.00286129160881338,0.0478016934911018,10
SRC01,SRC01_4,SRC01_007_4,0.000324148237573549,0.00286129160881338,0.0478016934911018,10
SRC01,SRC01_5,SRC01_007_5,0.000324148237573549,0.00286129160881338,0.0478016934911018,10
SRC01,SRC01_1,SRC01_008_1,0.000777426833865056,0.0074745283565439205,0.0849937111621778,10
SRC01,SRC01_2,SRC01_008_2,0.000777426833865056,0.0074745283565439205,0.0849937111621778,10
SRC01,SRC01_3,SRC01_008_3,0.000777426833865056,0.0074745283565439205,0.0849937111621778,10
SRC01,SRC01_4,SRC01_008_4,0.000777426833865056,0.0074745283565439205,0.0849937111621778,10
SRC01,SRC01_5,SRC01_008_5,0.000777426833865056,0.0074745283565439205,0.0849937111621778,10
SRC01,SRC01_1,SRC01_009_1,0.00171767033692873,0.0171979862632934,0.140005859516514,10
SRC01,SRC01_2,SRC01_009_2,0.00171767033692873,0.0171979862632934,0.140005859516514,10
SRC01,SRC01_3,SRC01_009_3,0.00171767033692873,0.0171979862632934,0.140005859516514,10
SRC01,SRC01_4,SRC01_009_4,0.00171767033692873,0.0171979862632934,0.140005859516514,10
SRC01,SRC01_5,SRC01_009_5,0.00171767033692873,0.0171979862632934,0.140005859516514,10
SRC01,SRC01_1,SRC01_010_1,0.0035186079673546204,0.035288953769107,0.21476476828991603,10
SRC01,SRC01_2,SRC01_010_2,0.0035186079673546204,0.035288953769107,0.21476476828991603,10
SRC01,SRC01_3,SRC01_010_3,0.0035186079673546204,0.035288953769107,0.21476476828991603,10
SRC01,SRC01_4,SRC01_010_4,0.0035186079673546204,0.035288953769107,0.21476476828991603,10
SRC01,SRC01_5,SRC01_010_5,0.0035186079673546204,0.035288953769107,0.21476476828991603,10
SRC01,SRC01_1,SRC01_011_1,0.00672304848059235,0.0653334138463708,0.308388416724708,10
SRC01,SRC01_2,SRC01_011_2,0.00672304848059235,0.0653334138463708,0.308388416724708,10
SRC01,SRC01_3,SRC01_011_3,0.00672304848059235,0.0653334138463708,0.308388416724708,10
SRC01,SRC01_4,SRC01_011_4,0.00672304848059235,0.0653334138463708,0.308388416724708,10
SRC01,SRC01_5,SRC01_011_5,0.00672304848059235,0.0653334138463708,0.308388416724708,10
SRC01,SRC01_1,SRC01_012_1,0.0120496494296617,0.110335345987343,0.416709358938115,10
SRC01,SRC01_2,SRC01_012_2,0.0120496494296617,0.110335345987343,0.416709358938115,10
SRC01,SRC01_3,SRC01_012_3,0.0120496494296617,0.110335345987343,0.416709358938115,10
SRC01,SRC01_4,SRC01_012_4,0.0120496494296617,0.110335345987343,0.416709358938115,10
SRC01,SRC01_5,SRC01_012_5,0.0120496494296617,0.110335345987343,0.416709358938115,10
SRC01,SRC01_1,SRC01_013_1,0.0203650979090869,0.171715769341347,0.532689466200039,10
SRC01,SRC01_2,SRC01_013_2,0.0203650979090869,0.171715769341347,0.532689466200039,10
SRC01,SRC01_3,SRC01_013_3,0.0203650979090869,0.171715769341347,0.532689466200039,10
SRC01,SRC01_4,SRC01_013_4,0.0203650979090869,0.171715769341347,0.532689466200039,10
SRC01,SRC01_5,SRC01_013_5,0.0203650979090869,0.171715769341347,0.532689466200039,10
SRC01,SRC01_1,SRC01_014_1,0.0326169706061005,0.248627074337918,0.6476679769795529,10
SRC01,SRC01_2,SRC01_014_2,0.0326169706061005,0.248627074337918,0.6476679769795529,10
SRC01,SRC01_3,SRC01_014_3,0.0326169706061005,0.248627074337918,0.6476679769795529,10
SRC01,SRC01_4,SRC01_014_4,0.0326169706061005,0.248627074337918,0.6476679769795529,10
SRC01,SRC01_5,SRC01_014_5,0.0326169706061005,0.248627074337918,0.6476679769795529,10
SRC01,SRC01_1,SRC01_015_1,0.0497329303582758,0.33787499023133,0.753060538913746,10
SRC01,SRC01_2,SRC01_015_2,0.0497329303582758,0.33787499023133,0.753060538913746,10
SRC01,SRC01_3,SRC01_015_3,0.0497329303582758,0.33787499023133,0.753060538913746,10
SRC01,SRC01_4,SRC01_015_4,0.0497329303582758,0.33787499023133,0.753060538913746,10
